ts,from,to,msg_type,symbol,side,price,qty
1768308919923934000,31,1,MarketOrder,ETH-USD,Sell,,0.666
1768308922623934000,25,1,MarketOrder,ETH-USD,Sell,,0.2282
1768308922623934000,24,1,MarketOrder,ETH-USD,Buy,,0.21799999999999997
1768308922923934000,41,1,MarketOrder,ETH-USD,Sell,,1.588
1768308922923934000,40,1,MarketOrder,ETH-USD,Buy,,1.605
1768308924423934000,21,1,MarketOrder,ETH-USD,Sell,,0.2032
1768308924423934000,20,1,MarketOrder,ETH-USD,Buy,,0.199
1768308926723934000,22,1,MarketOrder,ETH-USD,Buy,,0.16999999999999998
1768308926723934000,23,1,MarketOrder,ETH-USD,Sell,,0.1014
1768308934923934000,21,1,MarketOrder,ETH-USD,Sell,,0.2
1768308934923934000,20,1,MarketOrder,ETH-USD,Buy,,0.22499999999999998
1768308935923934000,24,1,MarketOrder,ETH-USD,Buy,,0.15
1768308935923934000,25,1,MarketOrder,ETH-USD,Sell,,0.2296
1768308937523934000,27,1,MarketOrder,ETH-USD,Sell,,0.3376
1768308937523934000,26,1,MarketOrder,ETH-USD,Buy,,0.252
1768308942323934000,22,1,MarketOrder,ETH-USD,Buy,,0.1994
1768308942323934000,23,1,MarketOrder,ETH-USD,Sell,,0.11460000000000001
1768308945423934000,20,1,MarketOrder,ETH-USD,Buy,,0.19219999999999998
1768308945423934000,21,1,MarketOrder,ETH-USD,Sell,,0.2182
1768308948923934000,35,1,MarketOrder,ETH-USD,Sell,,0.9315
1768308948923934000,34,1,MarketOrder,ETH-USD,Buy,,0.5315
1768308949223934000,24,1,MarketOrder,ETH-USD,Buy,,0.1282
1768308949223934000,25,1,MarketOrder,ETH-USD,Sell,,0.1946
1768308951923934000,31,1,MarketOrder,ETH-USD,Sell,,0.9815
1768308951923934000,30,1,MarketOrder,ETH-USD,Buy,,0.69
1768308955923934000,20,1,MarketOrder,ETH-USD,Buy,,0.2094
1768308955923934000,21,1,MarketOrder,ETH-USD,Sell,,0.1718
1768308956723934000,26,1,MarketOrder,ETH-USD,Buy,,0.2182
1768308956723934000,27,1,MarketOrder,ETH-USD,Sell,,0.3592
1768308957923934000,23,1,MarketOrder,ETH-USD,Sell,,0.1954
1768308957923934000,22,1,MarketOrder,ETH-USD,Buy,,0.151
1768308962523934000,25,1,MarketOrder,ETH-USD,Sell,,0.1208
1768308962523934000,24,1,MarketOrder,ETH-USD,Buy,,0.1666
1768308965423934000,33,1,MarketOrder,ETH-USD,Sell,,0.9195
1768308965423934000,32,1,MarketOrder,ETH-USD,Buy,,0.558
1768308966423934000,21,1,MarketOrder,ETH-USD,Sell,,0.1572
1768308966423934000,20,1,MarketOrder,ETH-USD,Buy,,0.2166
1768308970923934000,37,1,MarketOrder,ETH-USD,Sell,,1.3124
1768308970923934000,36,1,MarketOrder,ETH-USD,Buy,,1.3117
1768308973523934000,22,1,MarketOrder,ETH-USD,Buy,,0.19019999999999998
1768308973523934000,23,1,MarketOrder,ETH-USD,Sell,,0.2748
1768308975823934000,25,1,MarketOrder,ETH-USD,Sell,,0.1944
1768308975823934000,24,1,MarketOrder,ETH-USD,Buy,,0.2874
1768308975923934000,26,1,MarketOrder,ETH-USD,Buy,,0.364
1768308975923934000,27,1,MarketOrder,ETH-USD,Sell,,0.39540000000000003
1768308976923934000,20,1,MarketOrder,ETH-USD,Buy,,0.29
1768308976923934000,21,1,MarketOrder,ETH-USD,Sell,,0.2702
1768308983923934000,31,1,MarketOrder,ETH-USD,Sell,,0.9455
1768308983923934000,30,1,MarketOrder,ETH-USD,Buy,,0.6930000000000001
1768308987423934000,20,1,MarketOrder,ETH-USD,Buy,,0.1634
1768308987423934000,21,1,MarketOrder,ETH-USD,Sell,,0.1352
1768308989123934000,23,1,MarketOrder,ETH-USD,Sell,,0.15460000000000002
1768308989123934000,22,1,MarketOrder,ETH-USD,Buy,,0.1518
1768308989123934000,25,1,MarketOrder,ETH-USD,Sell,,0.13
1768308989123934000,24,1,MarketOrder,ETH-USD,Buy,,0.2034
1768308995123934000,26,1,MarketOrder,ETH-USD,Buy,,0.269
1768308995123934000,27,1,MarketOrder,ETH-USD,Sell,,0.30960000000000004
1768308997923934000,20,1,MarketOrder,ETH-USD,Buy,,0.278
1768308997923934000,21,1,MarketOrder,ETH-USD,Sell,,0.1916
1768309002423934000,25,1,MarketOrder,ETH-USD,Sell,,0.1464
1768309002423934000,24,1,MarketOrder,ETH-USD,Buy,,0.164
1768309004723934000,23,1,MarketOrder,ETH-USD,Sell,,0.2246
1768309004723934000,22,1,MarketOrder,ETH-USD,Buy,,0.1794
1768309008423934000,21,1,MarketOrder,ETH-USD,Sell,,0.21799999999999997
1768309008423934000,20,1,MarketOrder,ETH-USD,Buy,,0.1496
1768309011923934000,35,1,MarketOrder,ETH-USD,Sell,,0.765
1768309011923934000,34,1,MarketOrder,ETH-USD,Buy,,0.688
1768309012923934000,33,1,MarketOrder,ETH-USD,Sell,,0.8594999999999999
1768309012923934000,32,1,MarketOrder,ETH-USD,Buy,,0.8534999999999999
1768309014323934000,27,1,MarketOrder,ETH-USD,Sell,,0.3166
1768309014323934000,26,1,MarketOrder,ETH-USD,Buy,,0.28300000000000003
1768309015723934000,25,1,MarketOrder,ETH-USD,Sell,,0.15460000000000002
1768309015723934000,24,1,MarketOrder,ETH-USD,Buy,,0.2964
1768309015923934000,30,1,MarketOrder,ETH-USD,Buy,,0.875
1768309015923934000,31,1,MarketOrder,ETH-USD,Sell,,0.5635
1768309017923934000,41,1,MarketOrder,ETH-USD,Sell,,1.063
1768309017923934000,43,1,MarketOrder,ETH-USD,Sell,,1.584
1768309017923934000,42,1,MarketOrder,ETH-USD,Buy,,1.76
1768309017923934000,40,1,MarketOrder,ETH-USD,Buy,,1.589
1768309018923934000,21,1,MarketOrder,ETH-USD,Sell,,0.1706
1768309018923934000,20,1,MarketOrder,ETH-USD,Buy,,0.1264
1768309020323934000,23,1,MarketOrder,ETH-USD,Sell,,0.254
1768309020323934000,22,1,MarketOrder,ETH-USD,Buy,,0.252
1768309026923934000,37,1,MarketOrder,ETH-USD,Sell,,0.8889
1768309026923934000,36,1,MarketOrder,ETH-USD,Buy,,0.8315
1768309029023934000,24,1,MarketOrder,ETH-USD,Buy,,0.1588
1768309029023934000,25,1,MarketOrder,ETH-USD,Sell,,0.185
1768309029423934000,20,1,MarketOrder,ETH-USD,Buy,,0.299
1768309029423934000,21,1,MarketOrder,ETH-USD,Sell,,0.2092
1768309033523934000,26,1,MarketOrder,ETH-USD,Buy,,0.38180000000000003
1768309033523934000,27,1,MarketOrder,ETH-USD,Sell,,0.3662
1768309035923934000,23,1,MarketOrder,ETH-USD,Sell,,0.2606
1768309035923934000,22,1,MarketOrder,ETH-USD,Buy,,0.2234
1768309035923934000,50,1,MarketOrder,ETH-USD,Buy,,3.5540000000000003
1768309035923934000,51,1,MarketOrder,ETH-USD,Sell,,2.398
1768309039923934000,21,1,MarketOrder,ETH-USD,Sell,,0.1526
1768309039923934000,20,1,MarketOrder,ETH-USD,Buy,,0.20479999999999998
1768309042323934000,24,1,MarketOrder,ETH-USD,Buy,,0.2422
1768309042323934000,25,1,MarketOrder,ETH-USD,Sell,,0.2804
1768309047923934000,30,1,MarketOrder,ETH-USD,Buy,,0.9670000000000001
1768309047923934000,31,1,MarketOrder,ETH-USD,Sell,,0.9685
1768309050423934000,20,1,MarketOrder,ETH-USD,Buy,,0.15360000000000001
1768309050423934000,21,1,MarketOrder,ETH-USD,Sell,,0.1712
1768309051523934000,23,1,MarketOrder,ETH-USD,Sell,,0.27859999999999996
1768309051523934000,22,1,MarketOrder,ETH-USD,Buy,,0.18159999999999998
1768309052723934000,26,1,MarketOrder,ETH-USD,Buy,,0.21700000000000003
1768309052723934000,27,1,MarketOrder,ETH-USD,Sell,,0.2888
1768309055623934000,25,1,MarketOrder,ETH-USD,Sell,,0.263
1768309055623934000,24,1,MarketOrder,ETH-USD,Buy,,0.2326
1768309060423934000,32,1,MarketOrder,ETH-USD,Buy,,0.9844999999999999
1768309060423934000,33,1,MarketOrder,ETH-USD,Sell,,0.988
1768309060923934000,21,1,MarketOrder,ETH-USD,Sell,,0.1716
1768309060923934000,20,1,MarketOrder,ETH-USD,Buy,,0.21000000000000002
1768309067123934000,23,1,MarketOrder,ETH-USD,Sell,,0.2402
1768309067123934000,22,1,MarketOrder,ETH-USD,Buy,,0.1954
1768309068923934000,25,1,MarketOrder,ETH-USD,Sell,,0.1762
1768309068923934000,24,1,MarketOrder,ETH-USD,Buy,,0.271
1768309071423934000,20,1,MarketOrder,ETH-USD,Buy,,0.125
1768309071423934000,21,1,MarketOrder,ETH-USD,Sell,,0.1308
1768309071923934000,26,1,MarketOrder,ETH-USD,Buy,,0.31100000000000005
1768309071923934000,27,1,MarketOrder,ETH-USD,Sell,,0.33999999999999997
1768309074923934000,34,1,MarketOrder,ETH-USD,Buy,,0.9085
1768309074923934000,35,1,MarketOrder,ETH-USD,Sell,,0.981
1768309079923934000,31,1,MarketOrder,ETH-USD,Sell,,0.9505
1768309079923934000,30,1,MarketOrder,ETH-USD,Buy,,0.617
1768309081923934000,20,1,MarketOrder,ETH-USD,Buy,,0.1322
1768309081923934000,21,1,MarketOrder,ETH-USD,Sell,,0.2802
1768309082223934000,25,1,MarketOrder,ETH-USD,Sell,,0.1752
1768309082223934000,24,1,MarketOrder,ETH-USD,Buy,,0.2952
1768309082723934000,23,1,MarketOrder,ETH-USD,Sell,,0.2672
1768309082723934000,22,1,MarketOrder,ETH-USD,Buy,,0.2602
1768309082923934000,37,1,MarketOrder,ETH-USD,Sell,,0.8301000000000001
1768309082923934000,36,1,MarketOrder,ETH-USD,Buy,,1.3306
1768309091123934000,27,1,MarketOrder,ETH-USD,Sell,,0.3664
1768309091123934000,26,1,MarketOrder,ETH-USD,Buy,,0.23220000000000002
